detector,severity,confidence,description
arbitrary-send-erc20,High,High,"PSPReferralRegistry.unlockCallback(bytes) (src/PSPReferralRegistry.sol#161-180) uses arbitrary from in transferFrom: IERC20(Currency.unwrap(mix)).safeTransferFrom(p.buyer,msg.sender,p.mixIn) (src/PSPReferralRegistry.sol#169)"
arbitrary-send-eth,High,Medium,"PSPZapOut.zapOut(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#55-85) sends eth to arbitrary user
	Dangerous calls:
	- (ok,None) = msg.sender.call{value: ethOut}() (src/PSPZapOut.sol#83)"
weak-prng,High,Medium,"PSPStaker._distribute() (src/PSPStaker.sol#709-728) uses a weak PRNG: ""numerator % CREDIT_PRECISION != 0 (src/PSPStaker.sol#720)"""
reentrancy-balance,High,Medium,"Reentrancy in PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126):
	External call allowing reentrancy:
	- staker.claimAllTo(pepeIds,address(this)) (src/PSPReinvestor.sol#98)
	Balance read before the call:
	- mixBefore = mix.balanceOf(address(this)) (src/PSPReinvestor.sol#97)
	Possible stale balance used after the call in a condition:
	- mixIn < GameRules.MIN_BUY (src/PSPReinvestor.sol#100)
		- stale variable `mixIn`"
reentrancy-balance,High,Medium,"Reentrancy in PSPReinvestor.reinvest(uint256,PoolKey,uint256,uint256) (src/PSPReinvestor.sol#53-80):
	External call allowing reentrancy:
	- zapIn.buyWithMixFor(key,mixIn,minPspOut,deadline,owner) (src/PSPReinvestor.sol#68)
	Balance read before the call:
	- pspBefore = psp.balanceOf(address(this)) (src/PSPReinvestor.sol#67)
	Possible stale balance used after the call in a condition:
	- left > pspBefore && left > 1e3 (src/PSPReinvestor.sol#77)
		- stale variable `pspBefore`"
reentrancy-balance,High,Medium,"Reentrancy in PSPReinvestor.reinvest(uint256,PoolKey,uint256,uint256) (src/PSPReinvestor.sol#53-80):
	External call allowing reentrancy:
	- staker.claimFeesTo(pepeId,address(this)) (src/PSPReinvestor.sol#63)
	Balance read before the call:
	- mixBefore = mix.balanceOf(address(this)) (src/PSPReinvestor.sol#62)
	Possible stale balance used after the call in a condition:
	- mixIn < GameRules.MIN_BUY (src/PSPReinvestor.sol#65)
		- stale variable `mixIn`"
reentrancy-balance,High,Medium,"Reentrancy in PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126):
	External call allowing reentrancy:
	- staker.stakeFor(owner,pepeIds[i_scope_1],share) (src/PSPReinvestor.sol#119)
	Balance read before the call:
	- pspBefore = psp.balanceOf(address(this)) (src/PSPReinvestor.sol#112)
	Possible stale balance used after the call in a condition:
	- left > pspBefore && left > 1e3 (src/PSPReinvestor.sol#123)
		- stale variable `pspBefore`"
reentrancy-balance,High,Medium,"Reentrancy in PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126):
	External call allowing reentrancy:
	- zapIn.buyWithMixFor(key,mixIn,minPspOut,deadline,owner) (src/PSPReinvestor.sol#113)
	Balance read before the call:
	- pspBefore = psp.balanceOf(address(this)) (src/PSPReinvestor.sol#112)
	Possible stale balance used after the call in a condition:
	- left > pspBefore && left > 1e3 (src/PSPReinvestor.sol#123)
		- stale variable `pspBefore`"
reentrancy-balance,High,Medium,"Reentrancy in PSPReinvestor.reinvest(uint256,PoolKey,uint256,uint256) (src/PSPReinvestor.sol#53-80):
	External call allowing reentrancy:
	- staker.stakeFor(owner,pepeId,bought) (src/PSPReinvestor.sol#74)
	Balance read before the call:
	- pspBefore = psp.balanceOf(address(this)) (src/PSPReinvestor.sol#67)
	Possible stale balance used after the call in a condition:
	- left > pspBefore && left > 1e3 (src/PSPReinvestor.sol#77)
		- stale variable `pspBefore`"
uninitialized-state,High,High,"PSPStaker.biasAdd (src/PSPStaker.sol#113) is never initialized. It is used in:
	- PSPStaker._advance(PSPStaker.GlobalPoint,uint256) (src/PSPStaker.sol#313-326)"
