impact,confidence,detector,finding
High,Medium,arbitrary-send-eth,"PSPZapOut.zapOut(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#55-85) sends eth to arbitrary user"
High,Medium,weak-prng,"PSPStaker._distribute() (src/PSPStaker.sol#689-708) uses a weak PRNG: ""numerator % CREDIT_PRECISION != 0 (src/PSPStaker.sol#700)"" "
High,Medium,reentrancy-balance,"Reentrancy in PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126):"
High,Medium,reentrancy-balance,"Reentrancy in PSPReinvestor.reinvest(uint256,PoolKey,uint256,uint256) (src/PSPReinvestor.sol#53-80):"
High,Medium,reentrancy-balance,"Reentrancy in PSPReinvestor.reinvest(uint256,PoolKey,uint256,uint256) (src/PSPReinvestor.sol#53-80):"
High,Medium,reentrancy-balance,"Reentrancy in PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126):"
High,Medium,reentrancy-balance,"Reentrancy in PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126):"
High,Medium,reentrancy-balance,"Reentrancy in PSPReinvestor.reinvest(uint256,PoolKey,uint256,uint256) (src/PSPReinvestor.sol#53-80):"
High,High,uninitialized-state,PSPStaker.biasAdd (src/PSPStaker.sol#113) is never initialized. It is used in:
Medium,Medium,divide-before-multiply,CurveMath.slitherConstructorConstantVariables() (src/libraries/CurveMath.sol#22-587) performs a multiplication on the result of a division:
Medium,Medium,divide-before-multiply,"PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#265-273) performs a multiplication on the result of a division:"
Medium,Medium,divide-before-multiply,"CurveHook._handleBuy(address,PoolKey,SwapParams,uint256,Currency,Currency,address) (src/CurveHook.sol#434-520) performs a multiplication on the result of a division:"
Medium,Medium,divide-before-multiply,PSPStaker._distribute() (src/PSPStaker.sol#689-708) performs a multiplication on the result of a division:
Medium,High,incorrect-equality,"HookDeployer.mineHook(IPoolManager,address,address,CurveMath.CurveConfig,address,uint256) (src/HookDeployer.sol#96-122) uses a dangerous strict equality:"
Medium,High,incorrect-equality,PSPStaker._distribute() (src/PSPStaker.sol#689-708) uses a dangerous strict equality:
Medium,High,incorrect-equality,"PSPStaker.claimFeesTo(uint256,address) (src/PSPStaker.sol#603-609) uses a dangerous strict equality:"
Medium,High,incorrect-equality,"HookDeployer.mineHook(IPoolManager,address,address,CurveMath.CurveConfig,address,uint256) (src/HookDeployer.sol#96-122) uses a dangerous strict equality:"
Medium,High,incorrect-equality,RoundController.potDeposit(uint256) (src/RoundController.sol#364-373) uses a dangerous strict equality:
Medium,High,incorrect-equality,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421) uses a dangerous strict equality:"
Medium,High,incorrect-equality,"RoundController._predepositFor(address,uint256) (src/RoundController.sol#310-337) uses a dangerous strict equality:"
Medium,High,incorrect-equality,PSPStaker._distribute() (src/PSPStaker.sol#689-708) uses a dangerous strict equality:
Medium,High,incorrect-equality,PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#749-752) uses a dangerous strict equality:
Medium,High,incorrect-equality,RoundController.seedCarry(uint256) (src/RoundController.sol#344-356) uses a dangerous strict equality:
Medium,High,incorrect-equality,PSPStaker._creditBeforeEpoch(uint256) (src/PSPStaker.sol#349-358) uses a dangerous strict equality:
Medium,High,incorrect-equality,"PSPStaker.claimAllTo(uint256[],address) (src/PSPStaker.sol#612-622) uses a dangerous strict equality:"
Medium,High,incorrect-equality,RoundController.mixETHToETH(uint256) (src/RoundController.sol#252-259) uses a dangerous strict equality:
Medium,High,incorrect-equality,"PSPStaker._unscheduleDecay(PSPStaker.Position,PSPStaker.GlobalPoint) (src/PSPStaker.sol#578-592) uses a dangerous strict equality:"
Medium,High,incorrect-equality,PSPStaker._distribute() (src/PSPStaker.sol#689-708) uses a dangerous strict equality:
Medium,High,locked-ether,Contract locking ether found:
Medium,Medium,reentrancy-no-eth,"Reentrancy in PSPStaker._stake(address,uint256,uint256) (src/PSPStaker.sol#470-499):"
Medium,Medium,reentrancy-no-eth,Reentrancy in PSPFactory.birthStep() (src/PSPFactory.sol#312-326):
Medium,Medium,reentrancy-no-eth,Reentrancy in PSPStaker.cancelWithdraw(uint256) (src/PSPStaker.sol#525-542):
Medium,Medium,reentrancy-no-eth,Reentrancy in PSPStaker.withdraw(uint256) (src/PSPStaker.sol#548-575):
Medium,Medium,reentrancy-no-eth,Reentrancy in PSPStaker.requestWithdraw(uint256) (src/PSPStaker.sol#504-521):
Medium,Medium,reentrancy-no-eth,Reentrancy in PSPFactory.birthStep() (src/PSPFactory.sol#312-326):
Medium,Medium,reentrancy-no-eth,"Reentrancy in PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421):"
Medium,Medium,reentrancy-no-eth,"Reentrancy in PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421):"
Medium,Medium,reentrancy-no-eth,Reentrancy in PSPFactory._birthWire() (src/PSPFactory.sol#487-553):
Medium,Medium,reentrancy-no-eth,Reentrancy in PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#562-579):
